job,marital,education,age,balance,homeowner,loans,default,contact,length,campaign,pdays,previous,poutcome,RESP,samp#,Rnad #,num
blue-collar,married,unknown,47,1506,1,0,0,0,92,1,-1,0,2,0,0,0.95894723,0
entrepreneur,divorced,tertiary,42,2,1,0,1,0,380,1,-1,0,2,0,0,0.607161598,0
retired,married,primary,58,121,1,0,0,0,50,1,-1,0,2,0,0,0.858460221,0
services,married,secondary,57,162,1,0,0,0,174,1,-1,0,2,0,0,0.580825098,0
services,married,secondary,25,50,1,0,0,0,342,1,-1,0,2,0,0,0.690760849,0
management,single,tertiary,39,255,1,0,0,0,296,1,-1,0,2,0,0,0.798697174,0
technician,single,secondary,36,265,1,1,0,0,348,1,-1,0,2,0,0,0.887089938,0
admin.,single,secondary,37,0,1,0,0,0,137,1,-1,0,2,0,0,0.917383116,0
blue-collar,married,unknown,60,104,1,0,0,0,22,1,-1,0,2,0,0,0.747222003,0
retired,married,secondary,54,529,1,0,0,0,1492,1,-1,0,2,0,0,0.900851074,0
management,divorced,tertiary,48,-244,1,0,0,0,253,1,-1,0,2,0,0,0.854893796,0
technician,single,secondary,24,-103,1,1,0,0,145,1,-1,0,2,0,0,0.626811439,0
blue-collar,married,unknown,47,306,1,0,0,0,13,1,-1,0,2,0,0,0.670204731,0
services,married,secondary,33,790,1,0,0,0,391,1,-1,0,2,0,0,0.910695909,0
blue-collar,married,secondary,57,5935,1,1,0,0,258,1,-1,0,2,0,0,0.776761739,0
services,married,secondary,31,25,1,1,0,0,172,1,-1,0,2,0,0,0.878367006,0
blue-collar,married,primary,55,23,1,0,0,0,291,1,-1,0,2,0,0,0.932055134,0
services,divorced,secondary,47,164,0,0,0,0,212,1,-1,0,2,0,0,0.717147941,0
technician,single,secondary,42,690,1,0,0,0,20,1,-1,0,2,0,0,0.780718807,0
admin.,married,secondary,59,2343,1,0,0,0,1042,1,-1,0,2,1,0,0.891700236,0
technician,married,secondary,41,1270,1,0,0,0,1389,1,-1,0,2,1,0,0.604914708,0
technician,married,secondary,30,152,1,1,0,0,213,2,-1,0,2,0,0,0.864759818,0
retired,married,tertiary,60,81,1,0,0,0,101,1,-1,0,2,0,0,0.854575954,0
blue-collar,married,primary,53,90,0,0,0,0,124,1,-1,0,2,0,0,0.872502372,0
blue-collar,married,primary,52,128,1,0,0,0,229,1,-1,0,2,0,0,0.931050812,0
technician,single,tertiary,27,0,1,0,0,0,400,1,-1,0,2,0,0,0.586530186,0
retired,single,secondary,59,30,1,0,0,0,514,1,-1,0,2,0,0,0.600922479,0
retired,divorced,primary,59,81,1,0,0,0,107,1,-1,0,2,0,0,0.519266898,0
blue-collar,married,secondary,44,144,1,0,0,0,247,2,-1,0,2,0,0,0.674404014,0
management,single,tertiary,33,-67,1,0,0,0,364,1,-1,0,2,0,0,0.633107427,0
services,married,secondary,43,41,1,1,0,0,127,2,-1,0,2,0,0,0.772652177,0
technician,single,secondary,38,1685,1,0,0,0,185,1,-1,0,2,0,0,0.51835666,0
housemaid,divorced,primary,53,947,1,0,0,0,163,1,-1,0,2,0,0,0.882656701,0
services,married,secondary,33,22,1,0,0,0,71,1,-1,0,2,0,0,0.71839096,0
unemployed,married,secondary,48,293,1,0,0,0,243,1,-1,0,2,0,0,0.541637863,0
blue-collar,married,primary,54,348,1,0,0,0,579,2,-1,0,2,0,0,0.635048078,0
technician,single,tertiary,39,47,1,0,0,0,181,1,-1,0,2,0,0,0.807988297,0
admin.,single,secondary,26,82,1,0,0,0,228,1,-1,0,2,0,0,0.889322303,0
management,married,tertiary,52,271,1,0,0,0,99,1,-1,0,2,0,0,0.833463309,0
services,married,tertiary,31,37,1,0,0,0,313,1,-1,0,2,0,0,0.725264708,0
technician,divorced,secondary,35,787,1,0,0,0,683,2,-1,0,2,0,0,0.712325224,0
admin.,married,tertiary,36,211,1,0,0,0,146,2,-1,0,2,0,0,0.925036588,0
retired,married,primary,58,235,1,0,0,0,167,1,-1,0,2,0,0,0.918489093,0
blue-collar,single,secondary,33,307,1,0,0,0,309,2,-1,0,2,0,0,0.701437707,0
technician,divorced,tertiary,50,173,0,1,0,0,98,1,-1,0,2,0,0,0.933505166,0
services,married,secondary,35,0,1,0,0,0,471,1,-1,0,2,0,0,0.539742675,0
technician,married,tertiary,40,483,1,0,0,0,168,1,-1,0,2,0,0,0.891932434,0
unemployed,married,secondary,40,219,1,0,0,0,357,1,-1,0,2,0,0,0.532200801,0
entrepreneur,divorced,secondary,35,-69,1,0,0,0,300,1,-1,0,2,0,0,0.523527653,0
services,married,secondary,31,388,1,0,0,0,730,2,-1,0,2,0,0,0.961940165,0
blue-collar,married,unknown,53,1827,0,0,0,0,121,1,-1,0,2,0,0,0.995557509,0
blue-collar,married,primary,55,627,1,0,0,0,247,1,-1,0,2,0,0,0.724973013,0
blue-collar,married,primary,37,0,1,0,0,0,79,1,-1,0,2,0,0,0.887054101,0
admin.,divorced,secondary,44,66,1,0,0,0,206,1,-1,0,2,0,0,0.698602517,0
entrepreneur,married,unknown,43,100,1,0,0,0,702,1,-1,0,2,0,0,0.850795533,0
management,married,tertiary,49,3237,1,0,0,0,232,3,-1,0,2,0,0,0.576925611,0
blue-collar,married,primary,39,279,1,0,0,0,361,1,-1,0,2,0,0,0.668772781,0
technician,single,secondary,30,2573,1,0,0,0,67,2,-1,0,2,0,0,0.978637093,0
services,married,secondary,36,143,1,1,0,0,350,1,-1,0,2,0,0,0.642429717,0
entrepreneur,married,primary,41,236,1,0,0,0,151,1,-1,0,2,0,0,0.59420871,0
student,single,tertiary,30,25,1,0,0,0,89,2,-1,0,2,0,0,0.577754998,0
admin.,married,secondary,47,368,1,0,0,0,125,2,-1,0,2,0,0,0.734166863,0
management,married,tertiary,54,0,0,0,0,0,120,2,-1,0,2,0,0,0.783999054,0
technician,married,secondary,57,792,1,0,0,0,65,2,-1,0,2,0,0,0.872937863,0
services,married,unknown,53,257,1,0,0,0,209,2,-1,0,2,0,0,0.856255357,0
management,married,unknown,43,0,1,0,0,0,105,2,-1,0,2,0,0,0.522567412,0
admin.,married,secondary,56,353,1,0,0,0,106,2,-1,0,2,0,0,0.680966946,0
services,divorced,primary,55,96,1,1,0,0,311,2,-1,0,2,0,0,0.775460487,0
admin.,single,tertiary,33,193,0,0,0,0,132,2,-1,0,2,0,0,0.85023752,0
retired,single,primary,40,0,0,0,0,0,136,2,-1,0,2,0,0,0.930005893,0
technician,married,unknown,57,206,1,0,0,0,216,3,-1,0,2,0,0,0.680924923,0
admin.,single,secondary,42,1022,1,0,0,0,146,2,-1,0,2,0,0,0.823694863,0
technician,married,secondary,53,56,1,1,0,0,152,2,-1,0,2,0,0,0.998505187,0
blue-collar,divorced,secondary,40,-333,1,0,0,0,183,2,-1,0,2,0,0,0.773075353,0
blue-collar,married,primary,50,1533,1,0,0,0,325,2,-1,0,2,0,0,0.929602929,0
services,married,unknown,53,18,0,0,0,0,503,2,-1,0,2,0,0,0.837890696,0
management,single,tertiary,46,187,1,0,0,0,113,2,-1,0,2,0,0,0.634645992,0
blue-collar,married,secondary,45,66,1,0,0,0,808,2,-1,0,2,0,0,0.659988149,0
admin.,single,secondary,31,12,1,0,0,0,208,2,-1,0,2,0,0,0.598814688,0
blue-collar,single,secondary,44,34,1,0,0,0,404,4,-1,0,2,0,0,0.83671705,0
management,married,tertiary,48,263,1,0,0,0,350,2,-1,0,2,0,0,0.720854473,0
services,married,secondary,42,1263,1,0,0,0,114,2,-1,0,2,0,0,0.641522747,0
admin.,single,secondary,25,122,1,0,0,0,286,1,-1,0,2,0,0,0.651744186,0
blue-collar,married,primary,43,98,1,0,0,0,235,1,-1,0,2,0,0,0.641411287,0
management,married,tertiary,56,830,1,1,0,0,1201,1,-1,0,2,1,0,0.645036348,0
blue-collar,divorced,unknown,58,29,1,0,0,0,253,1,-1,0,2,0,0,0.931587298,0
technician,married,tertiary,37,8730,1,0,0,0,149,1,-1,0,2,0,0,0.862500374,0
technician,divorced,tertiary,46,477,1,0,0,0,114,1,-1,0,2,0,0,0.826178329,0
management,married,tertiary,50,0,0,0,0,0,326,1,-1,0,2,0,0,0.602924209,0
technician,married,secondary,38,284,1,0,0,0,483,1,-1,0,2,0,0,0.602321725,0
admin.,single,secondary,39,-25,1,0,0,0,576,1,-1,0,2,0,0,0.872192022,0
admin.,single,secondary,39,113,1,0,0,0,342,1,-1,0,2,0,0,0.747754757,0
admin.,married,secondary,55,131,1,0,0,0,744,1,-1,0,2,0,0,0.857235244,0
blue-collar,married,secondary,32,320,1,0,0,0,198,2,-1,0,2,0,0,0.985463142,0
services,married,primary,49,61,1,0,0,0,246,1,-1,0,2,0,0,0.808334768,0
admin.,divorced,secondary,51,228,1,0,0,0,136,1,-1,0,2,0,0,0.880897786,0
technician,single,unknown,39,45248,1,0,0,0,1623,1,-1,0,2,1,0,0.855371595,0
technician,married,secondary,50,797,1,0,0,0,354,1,-1,0,2,0,0,0.940973528,0
management,divorced,unknown,46,2,1,0,0,0,187,1,-1,0,2,0,0,0.779506383,0
management,married,tertiary,37,231,1,1,0,0,451,2,-1,0,2,0,0,0.656829964,0
technician,married,secondary,37,1,1,0,0,0,608,1,-1,0,2,1,0,0.68072229,0
blue-collar,divorced,secondary,58,-11,0,0,0,0,112,1,-1,0,2,0,0,0.901243317,0
blue-collar,married,primary,39,0,1,0,0,0,262,2,-1,0,2,0,0,0.665071592,0
unemployed,married,primary,39,408,1,0,0,0,53,1,-1,0,2,0,0,0.561194816,0
retired,single,secondary,57,1640,0,1,0,0,204,4,-1,0,2,0,0,0.905464694,0
