Rank,Date,Centre,ST_NAME,Region,Country,X,Y,Pop_2011,,
64,2011,Port Plair,ANDAMAN AND NICOBAR ISLANDS,SOUTH,INDIA,92.441600,11.400600,100186,,
13,2011,VISAKHAPATNAM,Andhra Pradesh,SOUTH,INDIA,"	83.218482","	17.686816",2035922,,
28,2011,VIJAYWADA,Andhra Pradesh,SOUTH,INDIA,"	80.648015","	16.506174",1034358,,
66,2011,Itanagar,Arunachal Pradesh,EAST,INDIA,93.371200,27.060000,59490,,
32,2011,GUWAHATI,Assam,NORTH EAST,INDIA,91.736237,26.144518,963429,,
17,2011,PATNA,Bihar,EAST,INDIA,"	85.137565","	25.594095",1683200,,
45,2011,BHAGALPUR,Bihar,EAST,INDIA,86.982430,25.347799,398138,,
52,2011,PURNIA,Bihar,EAST,INDIA,"	87.475255","	25.777139",280547,,
34,2011,CHANDIGARH,CHANDIGARH,NORTH,INDIA,76.779419,30.733315,960787,,
30,2011,RAIPUR,Chhattisgarh,WEST,INDIA,"	81.629641","	21.251384",1010087,,
65,2011,Silvassa,DADRA AND NAGAR HAVELI,North,INDIA,70.020000,20.270000,98265,,
60,2011,Daman ,DAMAN AND DIU,North,INDIA,72.850000,20.420000,191173,,
67,2011,PANAJI,Goa,WEST,INDIA,"	73.82785","	15.49093",40017,,
6,2011,AHMEDABAD,Gujarat,WEST,INDIA,72.571365,23.022505,5577940,,
21,2011,RAJKOT,Gujarat,WEST,INDIA,"	70.80216","	22.303895",1286995,,
3,2011,DELHI,Haryana,NORTH,INDIA,77.102493,28.704060,11034555,,
36,2011,GURGAON,Haryana,NORTH,INDIA,77.026634,28.459497,876824,,
48,2011,HISAR,Haryana,NORTH,INDIA,75.721657,29.149187,301249,,
50,2011,KARNAL,Haryana,NORTH,INDIA,"	76.990482","	29.685693",286974,,
58,2011,PANCHKULA,Haryana,NORTH,INDIA,"	76.860565","	30.694209",211355,,
61,2011,SHIMLA,Himachal Pradesh,NORTH,INDIA,"	77.173403","	31.104815",169578,,
68,2011,MANDI,Himachal Pradesh,NORTH,INDIA,"	76.91821","	31.58920",26422,,
23,2011,SRINAGAR,Jammu And Kashmir,NORTH,INDIA,"	74.797282","	34.083671",1192792,,
41,2011,JAMMU,Jammu And Kashmir,NORTH,INDIA,"	74.857026","	32.726602",503690,,
25,2011,RANCHI,Jharkhand,EAST,INDIA,"	85.309562","	23.3441",1073440,,
2,2011,Bengaluru,Karnataka,South,INDIA,77.350000,12.590000,12339447,,
16,2011,Thiruvananthapuram,Kerala,South,INDIA,97.579000,8.291500,1687406,,
69,2011,Kavaratti,LAKSHADWEEP,South,INDIA,72.640000,10.570000,11473,,
14,2011,INDORE,Madhya Pradesh,WEST,INDIA,75.857727,22.719568,1960631,,
15,2011,BHOPAL,Madhya Pradesh,WEST,INDIA,77.412613,23.259933,1798218,,
26,2011,JABALPUR,Madhya Pradesh,WEST,INDIA,79.986404,23.181467,1054336,,
27,2011,GWALIOR,Madhya Pradesh,WEST,INDIA,78.182831,26.218287,1053505,,
53,2011,SAGAR,Madhya Pradesh,WEST,INDIA,"	78.737807","	23.838805",273357,,
57,2011,REWA,Madhya Pradesh,WEST,INDIA,"	81.30418","	24.537293",235422,,
1,2011,MUMBAI,Maharashtra,WEST,INDIA,"	72.877656","	19.075984",12442373,,
12,2011,NAGPUR,Maharashtra,WEST,INDIA,"	79.088155","	21.1458",2405665,,
43,2011,Imphal,Manipur,East,INDIA,93.938400,24.807400,418739,,
46,2011,Shillong,Meghalaya,East,INDIA,91.883300,25.566700,354759,,
49,2011,Aizawl,Mizoram,East,INDIA,92.430400,23.433800,293416,,
62,2011,DIMAPUR,Nagaland,NORTH EAST,INDIA,93.753670,25.862989,122834,,
