name,username,tweetid,time,tweets
GunsandCoffee,GunsandCoffee70,2,1/6/2015 21:07,ENGLISH TRANSLATION: 'A MESSAGE TO THE TRUTHFUL IN SYRIA - SHEIKH ABU MUHAMMED AL MAQDISI: https://justpaste.it/MESSAGETOTHETRUTHFULINSYRIA https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,3,1/6/2015 21:27,"ENGLISH TRANSLATION: SHEIKH FATIH AL JAWLANI 'FOR THE PEOPLE OF INTEGRITY, SACRIFICE IS EASY' https://justpaste.it/SHEIKHALJAWLANINEWMESSAGE https://twitter.com/account/suspended "
GunsandCoffee,GunsandCoffee70,4,1/6/2015 21:29,ENGLISH TRANSLATION: FIRST AUDIO MEETING WITH SHEIKH FATIH AL JAWLANI (HA): https://justpaste.it/MeetingWithSheikhFatih https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,5,1/6/2015 21:37,"ENGLISH TRANSLATION: SHEIKH NASIR AL WUHAYSHI (HA), LEADER OF AQAP: 'THE PROMISE OF VICTORY': https://justpaste.it/AQAPPromiseOfVictory https://twitter.com/account/suspended "
GunsandCoffee,GunsandCoffee70,6,1/6/2015 21:45,ENGLISH TRANSLATION: AQAP: 'RESPONSE TO SHEIKH BAGHDADIS STATEMENT 'ALTHOUGH THE DISBELIEVERS DISLIKE IT.' https://justpaste.it/i4xj 
GunsandCoffee,GunsandCoffee70,7,1/6/2015 21:51,THE SECOND CLIP IN A DA'WAH SERIES BY A SOLDIER OF JN: Video Link :https://www.youtube.com/watch?v=UgjnKYgfxR4%26feature=youtu.be https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,8,1/6/2015 22:04,ENGLISH TRANSCRIPT : OH MURABIT! : https://justpaste.it/OhMurabit https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,9,1/6/2015 22:06,ENGLISH TRANSLATION: 'A COLLECTION OF THE WORDS OF THE U'LAMA REGARDING DAWLAH': https://justpaste.it/UlamaRegardingDawlah https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,10,1/6/2015 22:17,Aslm Please share our new account after the previous one was suspended. @KhalidMaghrebi @seifulmaslul123 @CheerLeadUnited 
GunsandCoffee,GunsandCoffee70,11,1/10/2015 0:05,ENGLISH TRANSLATION: AQAP STATEMENT REGARDING THE BLESSED RAID IN FRANCE:https://justpaste.it/AQAPFRENCHRAID https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,12,1/10/2015 0:08,@KhalidMaghrebi @seifulmaslul123 @CheerLeadUnited @IbnNabih1 
GunsandCoffee,GunsandCoffee70,13,1/12/2015 23:10,"NEW LINK, AFTER PREVIOUS ONE TAKEN DOWN:AQAP-'THE FACES HAVE BEEN BRIGHTENED' -REGARDING THE BLESSED ATTACK IN FRANCE https://justpaste.it/FRENCHRAIDAQAP "
GunsandCoffee,GunsandCoffee70,14,1/22/2015 20:14,ENGLISH TRANSLATION- SHEIKH ABU HASAN AL KUWAITI (HA) ADVICE OF NABI S.A.W TO THE MUJAHIDEEN: https://archive.org/details/WASIYAH https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,15,1/22/2015 20:47,SHEIKH ABU HASSAN AL KUWAITI (HA): ADVICE OF NABI SAW TO THE MUJAHIDEEN: https://justpaste.it/ADVICEOFRASOOLULLAHSAW https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,16,2/9/2015 10:54,@IbnNabih1 @MuwMedia @Dawlat_islam7 Not translating it either. 
GunsandCoffee,GunsandCoffee70,17,2/12/2015 13:03,"Aslm, anybody translating the new JN video? Will translate it if nobody else is @IbnNabih1 @KhalidMaghrebi_ @MuwMedia @Polder_Mujahid "
GunsandCoffee,GunsandCoffee70,18,2/12/2015 13:11,@IbnNabih1 @KhalidMaghrebi_ @MuwMedia @Polder_Mujahid So we will translate it then inshallah let us knw if anybody is available for the subs 
GunsandCoffee,GunsandCoffee70,19,2/16/2015 15:57,"@IbnNabih1 @abuw_ukasyah @polder_mujaahid @AbuIzzadeen2 @MuwMedia half way through, a few more days inshallah, been very busy. "
GunsandCoffee,GunsandCoffee70,20,2/20/2015 16:28,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid Aslm, we have completed the translation with the exception of a few news "
GunsandCoffee,GunsandCoffee70,21,2/20/2015 16:29,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid reports and words of the Syrian people, will have that completed by tomorrow "
GunsandCoffee,GunsandCoffee70,22,2/20/2015 16:30,"@AbdirahmanBash2 @KhalidMaghrebi_ @IbnNabih1 @Polder_Mujahid inshallah. Should we still finish it, or not? "
GunsandCoffee,GunsandCoffee70,23,2/26/2015 20:36,NEW links for #JN Video - ENG Subs: The Path of Salvation : WATCH: http://www.liveleak.com/view?i=f10_1424874119 http://t.co/jcviGUdedv https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,24,2/26/2015 20:40,DOWNLOAD #JN Video With English Subtitles: The Path of Salvation #سبيل_النجاة https://videos.files.wordpress.com/qcs8pw2Z/the-path-to-salvation_dvd.mp4 https://twitter.com/account/suspended 
GunsandCoffee,GunsandCoffee70,25,2/28/2015 23:35,Video by @ansardeenfront with Eng Subtitles: 'Save Aleppo' WATCH: http://sendvid.com/9wox18tu DOWNLOAD: http://ia600408.us.archive.org/21/items/jhuf-ansrdn/jm-en.wmv @a8531 
GunsandCoffee,GunsandCoffee70,26,3/4/2015 7:31,ENGLISH TRANSLATION: A Pamphlet Released By #JN Regarding #IS Group of ‘Dawlah’ and the Islamic Ruling Regarding it https://justpaste.it/RegardingDawlah 
GunsandCoffee,GunsandCoffee70,27,4/1/2015 13:18,"Aslm, anybody translating the new audio of Sheikh Jawlani? Will do it if no one else is. @IbnNabih1 @Emerat_AQ_islam @_KhalidMaghrebi "
GunsandCoffee,GunsandCoffee70,28,5/13/2015 21:16,"@abuhamzaneh @50W30 @JN_Irhabiyya_97 @Aba_M0hammed Aslm, Will do it inshallah "
GunsandCoffee,GunsandCoffee70,29,5/29/2015 9:53,RT @GIIMedia_CH004: Rules Of Imarah Part2 - Conditions of Imamah https://www.youtube.com/watch?v=b427OaDs5SY&feature=youtu.be Introductions And Definitions English Translation… 
GunsandCoffee,GunsandCoffee70,30,6/3/2015 11:16,ENGLISH TRANSLATION: Dialogue with Sheikh Tartoosi Part 2 https://justpaste.it/REPLYtartoosi 
Abu Layth Al Hindi,AbuLaythAlHindi,31,7/7/2015 6:02,‍‌‌‌‌‍‌‌‌🔻‌‌[ الاثنين 1436/9/19 هـ ]‍‌‌‌‌‍‍‍‍‌🔺‌ النشره صوتيه | ‍‌‌‌‌‍‌‍‍‍‌🔊‌‌ و مكتوبه | https://archive.org/details/fshd_93 #دولة_الخلافة 
Abu Layth Al Hindi,AbuLaythAlHindi,32,8/17/2015 20:20,#BREAKING #CONFIRMED Islamic State takes control of al-Jusiya border post linking Jurud al-Qaa in Lebanon to Qusayr in Homs countryside 
ابو الدرداء #خلافة,YazeedDhardaa25,33,8/26/2015 17:23,Salamu Alaykum. I'm back. Do supports and spread my new account. Barakallahu Feekum https://twitter.com/account/suspended 
ابو الدرداء #خلافة,YazeedDhardaa25,34,8/26/2015 17:24,@YazeedDhardaa25 cc @ibn_nuhas @Jazrawi_Uod @striv3ride @AfroQaqaisback 
abu baker aldimashqi,abubakerdimshqi,35,8/28/2015 23:08,"best generation ever, TAKBIRRR #IS #Dawlah #cubs https://twitter.com/account/suspended "
ابو الدرداء #خلافة,YazeedDhardaa25,36,8/29/2015 4:33,@baqiya58 Jazakallahu akhi 
ابو الدرداء #خلافة,YazeedDhardaa25,37,8/29/2015 4:33,@umulbanat1 Jazakallahu ukh 
ابو الدرداء #خلافة,YazeedDhardaa25,38,8/29/2015 4:34,@AlJabarti22 Jazakallahu akh 
ابو الدرداء #خلافة,YazeedDhardaa25,39,8/29/2015 4:34,@UmmAysha20___ Jazakallahu ukhti @Abtigood @AsadAlKanadi10 
ابو الدرداء #خلافة,YazeedDhardaa25,40,8/29/2015 4:35,@BintRose33 Jazakallahu ukhti @AbuHaleema28 @skxxx50 @Abtigood @_Muslimah1___ @JasonPhedo @AlJabali23 @AbdullahKayaNIW @CheckContentt 
ابو الدرداء #خلافة,YazeedDhardaa25,41,8/29/2015 20:16,@Skxx51 Actually he has been changed drastically after IS took a revenged and encircled them in DEZ @striv3ric @War_Reports (1) 
ابو الدرداء #خلافة,YazeedDhardaa25,42,8/29/2015 20:17,@Skxx51 he can't accept the mubahala between Sh Adnani & Abu Abdullah Shami where the truth is on IS @striv3ric @War_Reports (2) 
ابو الدرداء #خلافة,YazeedDhardaa25,43,8/29/2015 20:20,@Skxx51 If all of you remember his tweets from his first acc he used to support IS and made a clarification the @striv3ric @War_Reports(3) 
ابو الدرداء #خلافة,YazeedDhardaa25,44,8/29/2015 20:22,@Skxx51 truth behind Jan13 where he's asserted that FSA the one who start the infighting and killing muhajireen @striv3ric @War_Reports(4) 
ابو الدرداء #خلافة,YazeedDhardaa25,45,8/29/2015 20:33,@Skxx51 those who doesn't know him will says that his tweets are true and he's on haqq.. @striv3ric 
ابو الدرداء #خلافة,YazeedDhardaa25,46,8/29/2015 20:42,History repeated itself. JN almost vanished when #IS came to #Syria and massive bayah from #Aleppo & #Raqqa https://t.co/qMmG1K8Csa 
IS_BAQIYA,BaqiyaIs,47,8/30/2015 10:23,report JN tells their fighters they won't participate in mari battle against Islamic state under any circumstance https://t.co/pe6... 
IS_BAQIYA,BaqiyaIs,48,8/30/2015 11:47,The sahawat declare these villages military zones but love to talk about civilian deaths and provide no videos https://twitter.com/account/suspended 
IS_BAQIYA,BaqiyaIs,49,8/30/2015 13:03,"Didnt i tell you that JN only make takfir on those who spill their holy blood? SRF, hazm? https://twitter.com/account/suspended "
