HomeValue,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
453000,8,41,880,129,322,126,37.9,-121.99
359000,8,21,7100,1110,2400,1140,37.9,-121.99
352000,7,52,1470,190,496,177,37.9,-121.99
341000,6,52,1270,235,558,219,37.9,-121.99
342000,4,52,1630,280,565,259,37.9,-121.99
270000,4,52,919,213,413,193,37.9,-121.99
299000,4,52,2540,489,1090,514,37.8,-121.99
241000,3,52,3100,687,1160,647,37.8,-121.99
227000,2,42,2560,665,1210,595,37.8,-121.99
261000,4,52,3550,707,1550,714,37.8,-121.99
282000,3,52,2200,434,910,402,37.9,-121.99
242000,3,52,3500,752,1500,734,37.9,-121.99
214000,3,52,2490,474,1100,468,37.9,-121.99
191000,3,52,696,191,345,174,37.8,-121.99
159000,2,52,2640,626,1210,620,37.9,-121.99
140000,2,50,1120,283,697,264,37.9,-121.99
153000,3,52,1970,347,793,331,37.9,-121.99
156000,2,52,1230,293,648,303,37.9,-121.99
159000,2,50,2240,455,990,419,37.8,-121.99
163000,3,52,1500,298,690,275,37.8,-121.99
148000,1,40,751,184,409,166,37.9,-121.99
160000,2,42,1640,367,929,366,37.9,-121.99
114000,2,52,2440,541,1020,478,37.8,-121.99
99700,2,52,1690,337,853,325,37.8,-121.99
133000,3,52,2220,437,1010,422,37.8,-121.99
108000,2,41,535,123,317,119,37.9,-121.99
93800,2,49,1130,244,607,239,37.9,-121.99
106000,2,52,1900,421,1100,397,37.9,-121.99
109000,2,50,2080,492,1130,473,37.8,-121.99
132000,2,52,729,160,395,155,37.8,-121.99
122000,2,49,1920,447,863,378,37.8,-121.99
115000,2,52,2150,481,1170,441,37.8,-121.99
110000,2,48,1920,409,1030,335,37.8,-121.99
105000,1,49,1660,366,754,329,37.8,-121.99
110000,3,51,2670,574,1260,536,37.8,-121.99
97200,1,49,1220,282,570,264,37.8,-121.99
105000,1,48,1800,432,987,374,37.8,-121.99
104000,1,52,1510,390,901,403,37.8,-121.99
191000,3,52,1470,330,689,309,37.8,-121.99
176000,3,52,2430,715,1380,696,37.8,-121.99
155000,2,52,1670,419,946,395,37.8,-121.99
150000,1,51,936,311,517,249,37.8,-121.99
119000,1,49,713,202,462,189,37.8,-121.99
189000,4,52,950,202,467,198,37.8,-121.99
184000,3,52,1440,311,660,292,37.8,-121.99
182000,3,52,1660,420,718,382,37.8,-121.99
143000,2,50,1130,322,616,304,37.8,-121.99
138000,2,43,1010,312,558,253,37.8,-121.99
188000,1,40,624,195,423,160,37.8,-121.99
113000,2,40,946,375,700,352,37.8,-121.99
172000,1,21,896,453,735,438,37.8,-121.99
93800,2,43,1870,456,1060,407,37.8,-121.99
97500,1,41,3220,853,1960,720,37.8,-121.99
104000,1,52,1630,456,1160,400,37.8,-121.99
87500,2,52,1170,235,701,233,37.8,-121.99
83100,1,52,945,243,576,220,37.8,-121.99
87500,2,52,1240,288,622,259,37.8,-121.99
85300,1,52,1490,335,728,244,37.8,-121.99
80300,1,52,1390,341,1070,304,37.8,-121.99
60000,3,2,158,43,94,57,37.8,-121.99
75700,3,52,1120,211,554,187,37.8,-121.99
75000,6,49,135,29,86,23,37.8,-121.99
86100,1,50,760,190,377,122,37.8,-121.99
76100,1,52,1220,237,521,159,37.8,-121.99
73500,3,48,828,182,392,133,37.8,-121.99
78400,1,52,1010,209,604,187,37.8,-121.99
84400,1,48,1460,354,788,332,37.8,-121.99
81300,3,52,1030,244,492,147,37.8,-121.99
85000,2,52,572,109,274,82,37.8,-121.99
129000,1,46,2800,644,1820,611,37.8,-121.99
82500,2,26,768,152,392,127,37.8,-121.99
95200,1,46,935,297,582,277,37.8,-121.99
75000,2,49,844,204,560,152,37.8,-121.99
67500,1,46,12,4,18,7,37.8,-121.99
138000,2,20,835,161,290,133,37.8,-121.99
178000,1,17,1240,462,762,439,37.8,-121.99
102000,2,36,2910,562,1240,509,37.8,-121.99
108000,1,19,1210,243,721,207,37.8,-121.99
113000,1,23,1750,374,1050,325,37.8,-121.99
131000,2,38,684,176,344,155,37.8,-121.99
163000,2,17,924,289,609,289,37.8,-121.99
113000,1,52,210,56,183,56,37.8,-121.99
113000,2,52,340,97,200,87,37.8,-121.99
138000,1,52,386,164,346,155,37.8,-121.99
119000,2,35,948,184,467,169,37.8,-121.99
98200,2,52,773,143,377,115,37.8,-121.99
119000,1,40,880,451,582,380,37.8,-121.99
163000,1,10,875,348,546,330,37.8,-121.99
138000,1,10,105,42,125,39,37.8,-121.99
500000,1,52,249,78,396,85,37.8,-121.99
163000,2,16,994,392,800,362,37.8,-121.99
138000,1,52,215,87,904,88,37.8,-121.99
163000,1,52,96,31,191,34,37.8,-121.99
188000,3,27,1060,347,718,302,37.8,-121.99
179000,2,39,1720,623,1330,467,37.8,-121.99
