Class,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
1,average,above average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,below average,above average,below average,below average
1,average,above average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,average,above average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,average,above average,below average,below average
1,average,above average,below average,below average
1,average,above average,below average,below average
1,average,above average,below average,below average
1,average,above average,below average,below average
1,average,above average,below average,below average
1,average,average,below average,below average
1,average,above average,below average,below average
1,below average,above average,below average,below average
1,average,average,below average,average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,average,above average,below average,below average
1,average,average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,average,average,below average,below average
1,average,above average,below average,below average
1,average,above average,below average,below average
1,below average,average,below average,below average
1,below average,average,below average,below average
1,average,above average,below average,below average
1,below average,above average,below average,below average
1,below average,average,below average,below average
1,average,average,below average,below average
1,below average,above average,below average,below average
1,below average,below average,below average,below average
1,below average,average,below average,below average
1,below average,above average,below average,average
1,average,above average,below average,below average
1,below average,average,below average,below average
1,average,above average,below average,below average
1,below average,average,below average,below average
1,average,above average,below average,below average
1,below average,average,below average,below average
2,above average,average,average,average
2,average,average,average,average
2,above average,average,average,average
2,average,below average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,average,average,average
2,below average,below average,average,average
2,average,average,average,average
2,average,average,average,average
2,below average,below average,average,average
2,average,average,average,average
2,average,below average,average,average
2,average,average,average,average
2,average,average,average,average
2,above average,average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,below average,average,average
2,average,below average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,below average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,average,average,average
2,above average,average,average,average
2,above average,average,average,average
2,average,average,average,average
2,average,below average,average,average
2,average,below average,average,average
2,average,below average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,average,average,average
2,above average,average,average,average
2,average,below average,average,average
2,average,average,average,average
2,average,below average,average,average
2,average,below average,average,average
2,average,average,average,average
2,average,below average,average,average
2,below average,below average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,average,average,average
2,average,below average,average,average
2,average,average,average,average
3,average,average,above average,above average
3,average,average,average,average
3,above average,average,above average,above average
3,average,average,above average,average
3,average,average,above average,above average
3,above average,average,above average,above average
3,below average,below average,average,average
3,above average,average,above average,average
3,above average,below average,above average,average
3,above average,above average,above average,above average
3,average,average,average,above average
3,average,average,average,average
3,above average,average,average,above average
3,average,below average,average,above average
3,average,average,average,above average
3,average,average,average,above average
3,average,average,average,average
3,above average,above average,above average,above average
3,above average,below average,above average,above average
3,average,below average,average,average
3,above average,average,above average,above average
3,average,average,average,above average
3,above average,average,above average,above average
3,average,average,average,average
3,above average,average,above average,above average
3,above average,average,above average,average
3,average,average,average,average
3,average,average,average,average
3,average,average,above average,above average
3,above average,average,above average,average
3,above average,average,above average,average
3,above average,above average,above average,above average
3,average,average,above average,above average
3,average,average,average,average
3,average,below average,above average,average
3,above average,average,above average,above average
3,average,average,above average,above average
3,average,average,average,average
3,average,average,average,average
3,above average,average,average,above average
3,above average,average,above average,above average
3,above average,average,average,above average
3,average,average,average,average
3,above average,average,above average,above average
3,above average,average,above average,above average
3,above average,average,average,above average
3,average,below average,average,average
3,average,average,average,above average
3,average,average,average,above average
3,average,average,average,average
