time,tweets,role
8/14/2018 7:06," “They were all in on it, clear Hillary Clinton and FRAME Donald Trump for things he didn’t do.” Gregg Jarrett on @foxandfriends If we had a real Attorney General, this Witch Hunt would never have been sta",president
8/14/2018 6:55," Bruce Ohr of the “Justice” Department (can you believe he is still there) is accused of helping disgraced Christopher Steele “find dirt on Trump.” Ohr’s wife, Nelly, was in on the act big time - worked fo",president
8/13/2018 9:21," While I know it’s “not presidential” to take on a lowlife like Omarosa, and while I would rather not be doing so, this is a modern day form of communication and I know the Fake News Media will be working overtime to make even Wacky Omarosa look legitimate as possible. Sorry! [Twitter for iPhone] link",president
8/13/2018 8:57," ....such wonderful and powerful things about me - a true Champion of Civil Rights - until she got fired. Omarosa had Zero credibility with the Media (they didn’t want interviews) when she worked in the White House. Now that she says bad about me, they will talk to her. Fake News! [Twitter for iPhone] link",president
8/12/2018 8:25," “Seems like the Department of Justice (and FBI) had a program to keep Donald Trump from becoming President”. @DarrellIssa @foxandfriends If this had happened to the other side, everybody involved would be",president
8/12/2018 7:34," .@GovMikeHuckabee “Your paycheck is bigger, your pension is stronger.” @foxandfriends Unemployment numbers are better than they have been in 50 years, & perhaps ever. Our country is booming like never bef",president
8/11/2018 1:28," The big story that the Fake News Media refuses to report is lowlife Christopher Steele’s many meetings with Deputy A.G. Bruce Ohr and his beautiful wife, Nelly. It was Fusion GPS that hired Steele to write the phony & discredited Dossier, paid for by Crooked Hillary & the DNC.... [Twitter for iPhone] link",president
8/8/2018 10:14," The Republicans have now won 8 out of 9 House Seats, yet if you listen to the Fake News Media you would think we are being clobbered. Why can’t they play it straight, so unfair to the Republican Party and in particular, your favorite President! [Twitter for iPhone] link",president
8/7/2018 5:46," Ohio, vote today for Troy Balderson for Congress. His opponent, controlled by Nancy Pelosi, is weak on Crime, the Border, Military, Vets, your 2nd Amendment - and will end your Tax Cuts. Troy will be a great Congressman. #MAGA [Twitter for iPhone] link",president
8/6/2018 9:25," ....a law firm, eventually Kremlin connected sources, to gather info on Donald Trump. Collusion is very real with Russia, but only with Hillary and the Democrats, and we should demand a full investigation.",president
8/6/2018 2:13," John James is a potential Republican Star who has a Senate primary election tomorrow in Michigan. If he becomes the Republican candidate, he will beat the Open Borders, weak on Crime, Democrat, Debbie Stabenow. Vote for John James and Make America Great Again! [Twitter for iPhone] link",president
8/5/2018 7:49, Too bad a large portion of the Media refuses to report the lies and corruption having to do with the Rigged Witch Hunt - but that is why we call them FAKE NEWS! [Twitter for iPhone] link,president
8/5/2018 7:35," Fake News reporting, a complete fabrication, that I am concerned about the meeting my wonderful son, Donald, had in Trump Tower. This was a meeting to get information on an opponent, totally legal and done all the time in politics - and it went nowhere. I did not know about it! [Twitter for iPhone] link",president
8/5/2018 6:38, The Fake News hates me saying that they are the Enemy of the People only because they know it’s TRUE. I am providing a great service by explaining this to the American People. They purposely cause great division & distrust. They can also cause War! They are very dangerous & sick! [Twitter for iPhone] link,president
8/3/2018 10:30, RT @seanhannity: https://t.co/RAVcGZwsiS [Twitter for iPhone] link,president
