job,marital,education,age,balance,homeowner,loans,ln_default,day,contact,month,duration,campaign,pdays,previous,poutcome,RESP
management,married,tertiary,58,2143,1.0,0.0,0.0,5,unknown,may,261,1,-1,0,unknown,0
technician,single,secondary,44,29,1.0,0.0,0.0,5,unknown,may,151,1,-1,0,unknown,0
entrepreneur,married,secondary,33,2,1.0,1.0,0.0,5,unknown,may,76,1,-1,0,unknown,0
blue-collar,married,unknown,47,1506,1.0,0.0,0.0,5,unknown,may,92,1,-1,0,unknown,0
unknown,single,unknown,33,1,0.0,0.0,0.0,5,unknown,may,198,1,-1,0,unknown,0
management,married,tertiary,35,231,1.0,0.0,0.0,5,unknown,may,139,1,-1,0,unknown,0
management,single,tertiary,28,447,1.0,1.0,0.0,5,unknown,may,217,1,-1,0,unknown,0
entrepreneur,divorced,tertiary,42,2,1.0,0.0,1.0,5,unknown,may,380,1,-1,0,unknown,0
retired,married,primary,58,121,1.0,0.0,0.0,5,unknown,may,50,1,-1,0,unknown,0
technician,single,secondary,43,593,1.0,0.0,0.0,5,unknown,may,55,1,-1,0,unknown,0
admin.,divorced,secondary,41,270,1.0,0.0,0.0,5,unknown,may,222,1,-1,0,unknown,0
admin.,single,secondary,29,390,1.0,0.0,0.0,5,unknown,may,137,1,-1,0,unknown,0
technician,married,secondary,53,6,1.0,0.0,0.0,5,unknown,may,517,1,-1,0,unknown,0
technician,married,unknown,58,71,1.0,0.0,0.0,5,unknown,may,71,1,-1,0,unknown,0
services,married,secondary,57,162,1.0,0.0,0.0,5,unknown,may,174,1,-1,0,unknown,0
retired,married,primary,51,229,1.0,0.0,0.0,5,unknown,may,353,1,-1,0,unknown,0
admin.,single,unknown,45,13,1.0,0.0,0.0,5,unknown,may,98,1,-1,0,unknown,0
blue-collar,married,primary,57,52,1.0,0.0,0.0,5,unknown,may,38,1,-1,0,unknown,0
retired,married,primary,60,60,1.0,0.0,0.0,5,unknown,may,219,1,-1,0,unknown,0
services,married,secondary,33,0,1.0,0.0,0.0,5,unknown,may,54,1,-1,0,unknown,0
blue-collar,married,secondary,28,723,1.0,1.0,0.0,5,unknown,may,262,1,-1,0,unknown,0
management,married,tertiary,56,779,1.0,0.0,0.0,5,unknown,may,164,1,-1,0,unknown,0
blue-collar,single,primary,32,23,1.0,1.0,0.0,5,unknown,may,160,1,-1,0,unknown,0
services,married,secondary,25,50,1.0,0.0,0.0,5,unknown,may,342,1,-1,0,unknown,0
retired,married,primary,40,0,1.0,1.0,0.0,5,unknown,may,181,1,-1,0,unknown,0
admin.,married,secondary,44,-372,1.0,0.0,0.0,5,unknown,may,172,1,-1,0,unknown,0
management,single,tertiary,39,255,1.0,0.0,0.0,5,unknown,may,296,1,-1,0,unknown,0
entrepreneur,married,secondary,52,113,1.0,1.0,0.0,5,unknown,may,127,1,-1,0,unknown,0
management,single,secondary,46,-246,1.0,0.0,0.0,5,unknown,may,255,2,-1,0,unknown,0
technician,single,secondary,36,265,1.0,1.0,0.0,5,unknown,may,348,1,-1,0,unknown,0
technician,married,secondary,57,839,0.0,1.0,0.0,5,unknown,may,225,1,-1,0,unknown,0
management,married,tertiary,49,378,1.0,0.0,0.0,5,unknown,may,230,1,-1,0,unknown,0
admin.,married,secondary,60,39,1.0,1.0,0.0,5,unknown,may,208,1,-1,0,unknown,0
blue-collar,married,secondary,59,0,1.0,0.0,0.0,5,unknown,may,226,1,-1,0,unknown,0
management,married,tertiary,51,10635,1.0,0.0,0.0,5,unknown,may,336,1,-1,0,unknown,0
technician,divorced,secondary,57,63,1.0,0.0,0.0,5,unknown,may,242,1,-1,0,unknown,0
blue-collar,married,secondary,25,-7,1.0,0.0,0.0,5,unknown,may,365,1,-1,0,unknown,0
technician,married,secondary,53,-3,0.0,0.0,0.0,5,unknown,may,1666,1,-1,0,unknown,0
admin.,divorced,secondary,36,506,1.0,0.0,0.0,5,unknown,may,577,1,-1,0,unknown,0
admin.,single,secondary,37,0,1.0,0.0,0.0,5,unknown,may,137,1,-1,0,unknown,0
services,divorced,secondary,44,2586,1.0,0.0,0.0,5,unknown,may,160,1,-1,0,unknown,0
management,married,secondary,50,49,1.0,0.0,0.0,5,unknown,may,180,2,-1,0,unknown,0
blue-collar,married,unknown,60,104,1.0,0.0,0.0,5,unknown,may,22,1,-1,0,unknown,0
retired,married,secondary,54,529,1.0,0.0,0.0,5,unknown,may,1492,1,-1,0,unknown,0
retired,married,unknown,58,96,1.0,0.0,0.0,5,unknown,may,616,1,-1,0,unknown,0
admin.,single,primary,36,-171,1.0,0.0,0.0,5,unknown,may,242,1,-1,0,unknown,0
self-employed,married,tertiary,58,-364,1.0,0.0,0.0,5,unknown,may,355,1,-1,0,unknown,0
technician,married,secondary,44,0,1.0,0.0,0.0,5,unknown,may,225,2,-1,0,unknown,0
technician,divorced,secondary,55,0,0.0,0.0,0.0,5,unknown,may,160,1,-1,0,unknown,0
management,single,tertiary,29,0,1.0,0.0,0.0,5,unknown,may,363,1,-1,0,unknown,0
blue-collar,married,secondary,54,1291,1.0,0.0,0.0,5,unknown,may,266,1,-1,0,unknown,0
management,divorced,tertiary,48,-244,1.0,0.0,0.0,5,unknown,may,253,1,-1,0,unknown,0
management,married,tertiary,32,0,1.0,0.0,0.0,5,unknown,may,179,1,-1,0,unknown,0
admin.,single,secondary,42,-76,1.0,0.0,0.0,5,unknown,may,787,1,-1,0,unknown,0
technician,single,secondary,24,-103,1.0,1.0,0.0,5,unknown,may,145,1,-1,0,unknown,0
entrepreneur,single,tertiary,38,243,0.0,1.0,0.0,5,unknown,may,174,1,-1,0,unknown,0
management,single,tertiary,38,424,1.0,0.0,0.0,5,unknown,may,104,1,-1,0,unknown,0
blue-collar,married,unknown,47,306,1.0,0.0,0.0,5,unknown,may,13,1,-1,0,unknown,0
blue-collar,single,unknown,40,24,1.0,0.0,0.0,5,unknown,may,185,1,-1,0,unknown,0
services,married,primary,46,179,1.0,0.0,0.0,5,unknown,may,1778,1,-1,0,unknown,0
admin.,married,tertiary,32,0,1.0,0.0,0.0,5,unknown,may,138,1,-1,0,unknown,0
technician,divorced,secondary,53,989,1.0,0.0,0.0,5,unknown,may,812,1,-1,0,unknown,0
blue-collar,married,primary,57,249,1.0,0.0,0.0,5,unknown,may,164,1,-1,0,unknown,0
services,married,secondary,33,790,1.0,0.0,0.0,5,unknown,may,391,1,-1,0,unknown,0
blue-collar,married,unknown,49,154,1.0,0.0,0.0,5,unknown,may,357,1,-1,0,unknown,0
management,married,tertiary,51,6530,1.0,0.0,0.0,5,unknown,may,91,1,-1,0,unknown,0
retired,married,tertiary,60,100,0.0,0.0,0.0,5,unknown,may,528,1,-1,0,unknown,0
management,divorced,tertiary,59,59,1.0,0.0,0.0,5,unknown,may,273,1,-1,0,unknown,0
technician,married,secondary,55,1205,1.0,0.0,0.0,5,unknown,may,158,2,-1,0,unknown,0
blue-collar,single,secondary,35,12223,1.0,1.0,0.0,5,unknown,may,177,1,-1,0,unknown,0
blue-collar,married,secondary,57,5935,1.0,1.0,0.0,5,unknown,may,258,1,-1,0,unknown,0
services,married,secondary,31,25,1.0,1.0,0.0,5,unknown,may,172,1,-1,0,unknown,0
management,married,secondary,54,282,1.0,1.0,0.0,5,unknown,may,154,1,-1,0,unknown,0
blue-collar,married,primary,55,23,1.0,0.0,0.0,5,unknown,may,291,1,-1,0,unknown,0
technician,married,secondary,43,1937,1.0,0.0,0.0,5,unknown,may,181,1,-1,0,unknown,0
technician,married,secondary,53,384,1.0,0.0,0.0,5,unknown,may,176,1,-1,0,unknown,0
blue-collar,married,secondary,44,582,0.0,1.0,0.0,5,unknown,may,211,1,-1,0,unknown,0
services,divorced,secondary,55,91,0.0,0.0,0.0,5,unknown,may,349,1,-1,0,unknown,0
services,divorced,secondary,49,0,1.0,1.0,0.0,5,unknown,may,272,1,-1,0,unknown,0
services,divorced,secondary,55,1,1.0,0.0,1.0,5,unknown,may,208,1,-1,0,unknown,0
admin.,single,secondary,45,206,1.0,0.0,0.0,5,unknown,may,193,1,-1,0,unknown,0
services,divorced,secondary,47,164,0.0,0.0,0.0,5,unknown,may,212,1,-1,0,unknown,0
technician,single,secondary,42,690,1.0,0.0,0.0,5,unknown,may,20,1,-1,0,unknown,0
admin.,married,secondary,59,2343,1.0,0.0,0.0,5,unknown,may,1042,1,-1,0,unknown,1
self-employed,married,tertiary,46,137,1.0,1.0,0.0,5,unknown,may,246,1,-1,0,unknown,0
blue-collar,married,primary,51,173,1.0,0.0,0.0,5,unknown,may,529,2,-1,0,unknown,0
admin.,married,secondary,56,45,0.0,0.0,0.0,5,unknown,may,1467,1,-1,0,unknown,1
technician,married,secondary,41,1270,1.0,0.0,0.0,5,unknown,may,1389,1,-1,0,unknown,1
management,divorced,secondary,46,16,1.0,1.0,0.0,5,unknown,may,188,2,-1,0,unknown,0
retired,married,secondary,57,486,1.0,0.0,0.0,5,unknown,may,180,2,-1,0,unknown,0
management,single,secondary,42,50,0.0,0.0,0.0,5,unknown,may,48,1,-1,0,unknown,0
