year,period,value
1947,M13,25720
1948,M13,26127
1949,M13,43420
1950,M13,30390
1951,M13,15070
1952,M13,48820
1953,M13,18130
1954,M13,16630
1955,M13,21180
1956,M13,26840
1957,M13,10340
1958,M13,17900
1959,M13,60850
1960,M13,13260
1961,M13,10140
1962,M13,11760
1963,M13,10020
1964,M13,16220
1965,M13,15140
1966,M13,16000
1967,M13,31320
1968,M13,35367
1969,M13,29397
1970,M13,52761
1971,M13,35538
1972,M13,16764
1973,M13,16260
1974,M13,31809
1975,M13,17563
1976,M13,23962
1977,M13,21258
1978,M13,23774
1979,M13,20409
1980,M13,20844
1981,M01,257.9
1981,M02,118.5
1981,M03,861.8
1981,M04,4085.2
1981,M05,4454
1981,M06,2618.3
1981,M07,1575.5
1981,M08,1017.9
1981,M09,898.8
1981,M10,733.6
1981,M11,140.9
1981,M12,146
1981,M13,16908
1982,M01,202.8
1982,M02,241.1
1982,M03,357
1982,M04,533.1
1982,M05,657.6
1982,M06,907.2
1982,M07,844.7
1982,M08,754.3
1982,M09,2088.8
1982,M10,904.8
1982,M11,805.4
1982,M12,764.4
1982,M13,9061
1983,M01,794.8
1983,M02,844.4
1983,M03,1131.5
1983,M04,789.5
1983,M05,488.5
1983,M06,689.1
1983,M07,1270.1
1983,M08,8673.2
1983,M09,567.1
1983,M10,1143.3
1983,M11,605
1983,M12,464.2
1983,M13,17461
1984,M01,505.3
1984,M02,379.5
1984,M03,296.3
1984,M04,657.3
1984,M05,587.8
1984,M06,761.1
1984,M07,1228
1984,M08,1634.5
1984,M09,731
1984,M10,562.1
1984,M11,500.1
1984,M12,655.8
1984,M13,8499
1985,M01,278.3
1985,M02,259.3
1985,M03,698.5
1985,M04,222.1
1985,M05,236.6
1985,M06,454.3
1985,M07,476.5
1985,M08,810.8
1985,M09,863.8
1985,M10,1428.8
1985,M11,688.2
1985,M12,661.9
1985,M13,7079
1986,M01,171.1
1986,M02,307.3
1986,M03,367.5
1986,M04,287.1
1986,M05,296.9
1986,M06,3677
1986,M07,859.1
1986,M08,1371.6
1986,M09,1225.6
1986,M10,1423.7
1986,M11,940.4
1986,M12,933.2
1986,M13,11861
1987,M01,828.6
1987,M02,194.1
1987,M03,104.4
1987,M04,151.3
1987,M05,201.2
1987,M06,278.1
1987,M07,457.8
1987,M08,387.2
1987,M09,1143.1
1987,M10,353.3
1987,M11,222.9
1987,M12,159.4
1987,M13,4481
1988,M01,100.2
1988,M02,253.6
